epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.5312,1.69942,2.33141,1.18067,0.84294,0.63055,0.73472,0.40721,1.43266,2.09815,1.05461,0.000660194,0.000660194,0.000660194
2,150.96,1.52811,1.40695,1.10525,0.80313,0.6817,0.7694,0.42398,1.52312,1.12003,1.12849,0.00131372,0.00131372,0.00131372
3,213.636,1.49596,1.1792,1.10835,0.81779,0.68016,0.76827,0.45541,1.38567,1.04601,1.08411,0.00195406,0.00195406,0.00195406
4,273.621,1.43675,1.02941,1.08422,0.81052,0.7389,0.80129,0.42885,1.43347,0.94386,1.09044,0.0019406,0.0019406,0.0019406
5,335.68,1.41643,0.94338,1.07752,0.85418,0.74413,0.82311,0.49078,1.36526,0.86869,1.07305,0.0019208,0.0019208,0.0019208
6,397.621,1.39059,0.89178,1.06445,0.85416,0.75065,0.84579,0.50398,1.30667,0.82442,1.04823,0.001901,0.001901,0.001901
7,460.383,1.36774,0.84838,1.05233,0.87435,0.79942,0.86728,0.52831,1.23694,0.75241,1.02219,0.0018812,0.0018812,0.0018812
8,522.977,1.34517,0.83105,1.05314,0.86322,0.75849,0.86225,0.47281,1.46113,0.8514,1.08864,0.0018614,0.0018614,0.0018614
9,584.973,1.34384,0.8168,1.04788,0.87722,0.76501,0.85937,0.49496,1.40988,0.76646,1.08351,0.0018416,0.0018416,0.0018416
10,647.111,1.33843,0.80985,1.04823,0.87678,0.77676,0.86934,0.50599,1.34494,0.77275,1.06555,0.0018218,0.0018218,0.0018218
11,709.562,1.31026,0.79042,1.04035,0.86883,0.77821,0.87231,0.5403,1.25047,0.72141,1.0147,0.001802,0.001802,0.001802
12,772.388,1.32843,0.77765,1.03983,0.87982,0.78721,0.87228,0.52558,1.28674,0.73778,1.03528,0.0017822,0.0017822,0.0017822
13,833.61,1.28862,0.76059,1.02952,0.87402,0.77154,0.87587,0.52674,1.2703,0.79124,1.04693,0.0017624,0.0017624,0.0017624
14,896.552,1.25994,0.73692,1.02228,0.86559,0.75665,0.86492,0.49243,1.40927,0.75058,1.10407,0.0017426,0.0017426,0.0017426
15,959.878,1.26341,0.73378,1.01953,0.87612,0.79373,0.89169,0.56664,1.22131,0.68722,1.01855,0.0017228,0.0017228,0.0017228
16,1020.49,1.25844,0.7329,1.02045,0.86603,0.7933,0.8952,0.55963,1.21902,0.70041,1.01883,0.001703,0.001703,0.001703
